Name,PID,Title,Keywords,StartPage,EndPage,Pages,Year,NBN
"Fürst, Carl Magnus",1246744,En anatomisk notis till gaffelns historia,Bestick;Gafflar,235.0,240.0,6.0,1915,urn:nbn:se:nordiskamuseet:diva-793
"Nyström Larsson, Ingalill",1334262,En annan sida av bonadsmålningen : om betydelsen av konservatorns materialkunskap,Konservering (museiteknik);Konservatorer;Bonadsmåleri,147.0,154.0,8.0,2005,urn:nbn:se:nordiskamuseet:diva-1875
"Resare, Ann",1294225,En annorlunda dalahäst,Dalahästar;Konsthantverk;Folkkonst,218.0,222.0,5.0,1964,urn:nbn:se:nordiskamuseet:diva-1317
"Schoultz, Gösta, von",1292330,En arkitekts resa i Värmland,Reseskildringar,145.0,160.0,16.0,1961,urn:nbn:se:nordiskamuseet:diva-1228
"Stjernswärd, Brita",1289600,En Bellmansbild på Björnstorp,Målningar;Carl Michael Bellman;Christine Charlotte Mörner,114.0,118.0,5.0,1957,urn:nbn:se:nordiskamuseet:diva-1145
"NN, nn",1244911,En bondgård i Småland 1714,Bondgårdar,169.0,173.0,5.0,1913,urn:nbn:se:nordiskamuseet:diva-727
"Ekstrand, Gudrun",1269301,En bruddräkt från 1744,Bröllopskläder;Kvinnokläder;1700-talet,93.0,100.0,8.0,1948,urn:nbn:se:nordiskamuseet:diva-1003
"Hildebrand, Bengt O",1244894,En brudpigedräkt på Fogdön,Bröllopskläder,109.0,111.0,3.0,1913,urn:nbn:se:nordiskamuseet:diva-722
"Keyland, Nils",1234306,En brudutstyrsel från Härjedalen,Bröllopskläder,45.0,49.0,5.0,1906,urn:nbn:se:nordiskamuseet:diva-427
"Boëthius, Gerda",1233838,En brunn i stavkonstruktion,Brunnar,141.0,150.0,10.0,1930,urn:nbn:se:nordiskamuseet:diva-339
"Holmquist, Kersti",1291013,"En ""collier de chien""",Smycken;Museisamlingar,214.0,216.0,3.0,1958,urn:nbn:se:nordiskamuseet:diva-1169
"Liman, Ingemar",1294235,En dalsk skinnsäck,Ryggsäckar;Älvdalen;Museisamlingar,222.0,224.0,3.0,1964,urn:nbn:se:nordiskamuseet:diva-1318
"Lundberg, Erik",1235562,En dateringsfråga belyst av en biskopstvist på 1100-talet,Datering,171.0,189.0,19.0,1929,urn:nbn:se:nordiskamuseet:diva-523
"Lagerquist, Marshall",1233971,En dateringsfråga i gustavianskt möbelhantverk : Något om stolmakaren Jakob Malmsten i Stockholm,Möbler,25.0,40.0,16.0,1935,urn:nbn:se:nordiskamuseet:diva-370
"Elgström, Ossian",1245684,En diademformig kvinnomössa från Jokkmokk,Huvudbonader,40.0,42.0,3.0,1920,urn:nbn:se:nordiskamuseet:diva-763
"Upmark, Gustaf",1235673,En dryckeskanna från 1600-talet,Dryckeskärl,26.0,29.0,4.0,1907,urn:nbn:se:nordiskamuseet:diva-542
"Nodermann, Maj",1294820,En dubbelsidig bonad från Malung,Bonader;Dalarna;Malung,75.0,80.0,6.0,1967,urn:nbn:se:nordiskamuseet:diva-1341
"Maxén, Maria",1318213,En fallbila av prima beskaffenhet : giljotinens historia i Sverige,Museisamlingar;Nordiska museet;Giljotin;Avrättningsverktyg,279.0,296.0,18.0,1997,urn:nbn:se:nordiskamuseet:diva-1757
"Nylén, Anna-Maja",1290727,En fjällby : något om en byundersökning i Härjedalen,Byar;Härjedalen,197.0,206.0,10.0,1958,urn:nbn:se:nordiskamuseet:diva-1166
"Marmbrandt, Eva;Edlund, Catharina",1322978,En form av textil,Konstnärlig utsmyckning,174.0,179.0,6.0,2002,urn:nbn:se:nordiskamuseet:diva-1832
"Sjöberg, Nils",1235676,En germansk julfest i Konstantinopel på 900-talet,Fester,31.0,35.0,5.0,1907,urn:nbn:se:nordiskamuseet:diva-544
"Upmark, Gustaf",1240026,En gesällbok från 1700-talet,Skråväsen;Gesäller;Gesällväsen;Hantverkare - historia,37.0,45.0,9.0,1909,urn:nbn:se:nordiskamuseet:diva-591
"Werner, Karla",1298117,En grekisk invandrarorganisation,Immigration;Greker i utlandet,187.0,200.0,14.0,1977,urn:nbn:se:nordiskamuseet:diva-1464
"Andrén, Erik",1292153,En grupp Bogesundsmöbler,Möbler;Heminredning;Bogesund,231.0,236.0,6.0,1960,urn:nbn:se:nordiskamuseet:diva-1219
"Hofrén, Manne",1247415,En grupp norrländska portaler och deras mästare,Folkkonst;Hantverkare - historia,97.0,113.0,17.0,1919,urn:nbn:se:nordiskamuseet:diva-830
"Nylén, Anna-Maja",1269755,En hedersgåva från staden Venedig,Spetsar;Venedig;1600-talet,131.0,140.0,10.0,1948,urn:nbn:se:nordiskamuseet:diva-1007
"Berg, Gösta",1288746,En jordbruksbild av Jean Eric Rehn,Gravyrer;Jordbrukslandskap i konsten,133.0,142.0,10.0,1955,urn:nbn:se:nordiskamuseet:diva-1120
"Lagerquist, Marshall",1269790,En Julitarapsodi : godsherren som filantrop och patriark,Julita gård,141.0,158.0,18.0,1948,urn:nbn:se:nordiskamuseet:diva-1008
"Svärdström, Svante",1248815,En Julitasommar,,7.0,32.0,26.0,1942,urn:nbn:se:nordiskamuseet:diva-890
"Hammarstedt, Nils Edvard",1240212,En julutställning i Nordiska museet,,250.0,253.0,4.0,1909,urn:nbn:se:nordiskamuseet:diva-617
"Eldvik, Berit",1322675,En kameleont i fiberdjungeln,Textilier;Konstfibrer,12.0,28.0,17.0,2002,urn:nbn:se:nordiskamuseet:diva-1820
"Lagercrantz, Bo",1289651,"En kanna i ""flamandska genren""",Konsthantverk;Sillversmide;1800-talet;Museisamlingar;Nordiska museet,161.0,164.0,4.0,1957,urn:nbn:se:nordiskamuseet:diva-1151
"Lagerquist, Marshall",1248604,En kanna med Erik XIVs bild,Dryckeskärl;Keramik,227.0,230.0,4.0,1941,urn:nbn:se:nordiskamuseet:diva-888
"Resare, Ann",1317683,En klänning Skansen tur och retur,Museisamlingar;Skansen;Kläder;1890-talet,113.0,117.0,5.0,1997,urn:nbn:se:nordiskamuseet:diva-1743
"Lagerquist, Marshall",1248583,En kopparslagares mästerstycke,Dryckeskärl,214.0,216.0,3.0,1941,urn:nbn:se:nordiskamuseet:diva-882
"Lindblom, Andreas",1233387,En krönika om Skansens första landskapsdag,,217.0,236.0,20.0,1931,urn:nbn:se:nordiskamuseet:diva-259
"Andrén, Erik",1234182,En lantmätare som arkitekturskildrare,Arkitektur;Arkitekturritningar,169.0,184.0,16.0,1936,urn:nbn:se:nordiskamuseet:diva-409
"NN, nn",1245848,En lappsk trägud år 1694,Samer;folktro,110.0,,,1915,urn:nbn:se:nordiskamuseet:diva-783
"Hammarstedt, Nils Edvard",1239968,En lapsk båt,Båtbyggnad;Samer,149.0,155.0,7.0,1908,urn:nbn:se:nordiskamuseet:diva-579
"Arwidsson, Ivar",1240117,En laxho i Lagan,Fiske;Laxfiske,112.0,115.0,4.0,1909,urn:nbn:se:nordiskamuseet:diva-600
"Bæckström, Arvid",1288721,En lustfärd till Rosersberg 1826,Reseskildringar;Sverige;Rosersberg;1800-talet,95.0,114.0,20.0,1955,urn:nbn:se:nordiskamuseet:diva-1118
"Harnesk, Victoria",1345353,En länk mellan kalfjäll och avgas,Samer;Historia,268.0,280.0,13.0,2008,urn:nbn:se:nordiskamuseet:diva-1955
"Ekman, Sven",1244931,En metkrok af trä,Fiskeredskap;Fiske,38.0,40.0,3.0,1916,urn:nbn:se:nordiskamuseet:diva-738
"Bjerregaard, Ragnhild",1248839,En middelaldersk stol fra Hallingdal,Stolar;Möbler,73.0,80.0,8.0,1942,urn:nbn:se:nordiskamuseet:diva-893
"Brunius, Jan",1291122,En modell av Vikhus säteri,Museisamlingar;Nordiska museet;Modeller,222.0,227.0,6.0,1958,urn:nbn:se:nordiskamuseet:diva-1173
"Resare, Ann",1302280,En modern docka,Dockor;Dockkläder;1910-talet;Nordiska museet,237.0,242.0,6.0,1983,urn:nbn:se:nordiskamuseet:diva-1539
"Selling, Gösta",1233910,En murmästare som herrgårdsarkitekt,Arkitekturhistoria;Bruksorter;Herrgårdar,101.0,120.0,20.0,1934,urn:nbn:se:nordiskamuseet:diva-355
"Carlander, Carl Magnus",1233664,En märklig bokstämpel i Nordiska museet,Hantverk;Boktryckarmärken,94.0,96.0,3.0,1898,urn:nbn:se:nordiskamuseet:diva-303
"Jansson, Sam Owen",1293020,En norsk kalenderstav,Kalendrar;Kalenderstavar;Runstavar,186.0,188.0,3.0,1963,urn:nbn:se:nordiskamuseet:diva-1275
"Beckman, Natanael",1247441,En notis om runstaven,Runstavar,137.0,138.0,2.0,1919,urn:nbn:se:nordiskamuseet:diva-833
"Cnattingius, Bengt",1242485,En notis om Vingåkersdräkten 1794,Folkdräkter,42.0,43.0,2.0,1925,urn:nbn:se:nordiskamuseet:diva-679
"Cederblom, Gerda",1242487,En notis om Vingåkersdräkten 1794 - tillägg,Folkdräkter,44.0,45.0,2.0,1925,urn:nbn:se:nordiskamuseet:diva-680
"Lövgren, Karin",1318159,En nygammal Barbieklänning,Museisamlingar;Nordiska museet;Dockkläder;Barbiedockor,247.0,255.0,9.0,1997,urn:nbn:se:nordiskamuseet:diva-1754
"Waldetoft, Dan",1321813,En nypa salt,Måttsystem;Mått,35.0,40.0,6.0,2001,urn:nbn:se:nordiskamuseet:diva-1792
"Eklund Nyström, Sigrid",1360534,En okänd skatt,Julius Kronberg;Konstnärer;Sverige;Museisamlingar;Skansen,126.0,137.0,12.0,2017,urn:nbn:se:nordiskamuseet:diva-2053
"Danielson, Sofia",1290805,"En ""opstadgogn"" från Nordnorge",Vävstolar,210.0,212.0,3.0,1958,urn:nbn:se:nordiskamuseet:diva-1168
"Wallin, Sigurd",1241129,En otryckt sockenbeskrifning af Lars Hallman,Byar - historia,33.0,42.0,10.0,1911,urn:nbn:se:nordiskamuseet:diva-639
"Lagerquist, Marshall",1296368,En porträttidentifikation,Porträtt;Julita;Georg Khevenhüller;1500-talet,201.0,202.0,2.0,1968,urn:nbn:se:nordiskamuseet:diva-1388
"Bonge, Inger",1292602,En rar fågel,Tennarbeten;Museisamlingar;1700-talet,196.0,198.0,3.0,1961,urn:nbn:se:nordiskamuseet:diva-1235
"Lundwall, Sten",1291874,En renässansfantasi av F. W. Scholander,Bildkonst,207.0,210.0,4.0,1960,urn:nbn:se:nordiskamuseet:diva-1211
"Ambrosiani, Sune",1245644,En renässanskista,Kistor;Möbler;Förvaringsmöbler,247.0,250.0,4.0,1914,urn:nbn:se:nordiskamuseet:diva-758
"Hazelius-Berg, Gunnel",1248573,En riksdrots i gala,Offentlig person;Hovdräkter;Politk - historia,189.0,206.0,18.0,1941,urn:nbn:se:nordiskamuseet:diva-878
"Wikland, Inga",1288009,En rosele från Nordkoster,Rodd;Roddbåtar,127.0,128.0,2.0,1954,urn:nbn:se:nordiskamuseet:diva-1103
"Wintzell, Inga",1293341,En rya från Roslagen,Ryor,219.0,221.0,3.0,1961,urn:nbn:se:nordiskamuseet:diva-1290
"Thorman, Elisabeth",1235593,En rysk damastmanufaktur under 1700-talet,Damast;Damastvävning;Hantverk,29.0,40.0,12.0,1940,urn:nbn:se:nordiskamuseet:diva-530
"Holmquist, Kersti",1292939,En rysk guldskål,Rokoko (konsthantverk);Skålar;Guldsmedskonst,133.0,138.0,6.0,1963,urn:nbn:se:nordiskamuseet:diva-1263
"Biörnstad, Arne",1334425,En samling hus,Skansen;Byggnader,102.0,116.0,15.0,2007,urn:nbn:se:nordiskamuseet:diva-1884
"Holmquist, Kersti",1292763,En sengotisk ring,Smycken;Ringar;1500-talet,137.0,139.0,3.0,1962,urn:nbn:se:nordiskamuseet:diva-1246
"NN, nn",1235688,En sengotisk ugnsafbildning,Skulptur,46.0,,,1907,urn:nbn:se:nordiskamuseet:diva-549
"Andemar, Linnea",1282351,En sidenväverska berättar,Siden;Sidenvävare;Sverige;Sekelskiftet 1900,189.0,198.0,10.0,1950,urn:nbn:se:nordiskamuseet:diva-1042
"Danielson, Sofia",1293364,En silhuettklipperska från Öland,Silhuettklippning,226.0,227.0,2.0,1961,urn:nbn:se:nordiskamuseet:diva-1293
"Bergengren, Göran",1293004,En skolslöjdare,Träslöjd;Konsthantverk,177.0,179.0,3.0,1963,urn:nbn:se:nordiskamuseet:diva-1271
"Svärdström, Elisabeth",1294213,"En skål för ""goda, sköna och söta flötor""",Skålar;Runor;Museisamlingar,215.0,218.0,4.0,1964,urn:nbn:se:nordiskamuseet:diva-1316
"Ambjörnsson, Ronny",1305029,"En skön, ny värld : om Ellen Keys visioner och en senare tids verklighet",Hemmet;Ellen Key,260.0,278.0,19.0,1991,urn:nbn:se:nordiskamuseet:diva-1620
"Stjernswärd, Brita",1255857,En slottsfrus vardagsbestyr : ur gamla papper från Tostrup,Sophie Ehrensvärd;Herrgårdar;1700-talet,61.0,76.0,16.0,1945,urn:nbn:se:nordiskamuseet:diva-951
"Leijonhufvud, Sigrid",1235301,En släktklenod,Dryckeskärl,83.0,93.0,11.0,1928,urn:nbn:se:nordiskamuseet:diva-474
"Göth, J A",1235422,En småländsk fäbotare,Botare,131.0,136.0,6.0,1939,urn:nbn:se:nordiskamuseet:diva-502
"Wistrand, Per Gustaf",1234399,En småländsk svartkonstbok,Folktro;Svartkonst,239.0,244.0,6.0,1906,urn:nbn:se:nordiskamuseet:diva-451
"Sandberg, Nils;Sandklef, Albert A:son",1233800,En småländsk-västgötsk-halländsk målartradition,Konst;Bonadsmåleri;Folkkonst,207.0,222.0,16.0,1933,urn:nbn:se:nordiskamuseet:diva-326
"Andrén, Erik",1291331,En sommarsöndag på Svindersvik,Svindersvik,45.0,57.0,13.0,1959,urn:nbn:se:nordiskamuseet:diva-1177
"Geijer, Herman",1240569,En spelman i Åre,Spelmän;Folkmusiker,221.0,227.0,7.0,1910,urn:nbn:se:nordiskamuseet:diva-630
"Kvillner, Gunnar Gabriel",1296522,En studie i giftermålsfält,Äktenskap;Bönder;Sverige;Lokalhistoria,61.0,72.0,12.0,1969,urn:nbn:se:nordiskamuseet:diva-1393
"Biörnstad, Arne",1292821,En svarvarverkstad från Stockholm,Hantverk;Svarvning,153.0,157.0,5.0,1962,urn:nbn:se:nordiskamuseet:diva-1252
"Bæckström, Arvid",1235586,En svensk notis 1733 om Delfter-fajanserna,Porslin;Fajans,212.0,213.0,2.0,1929,urn:nbn:se:nordiskamuseet:diva-527
"Böttiger, John",1233248,En tapets historia,Tapeter;Textil,77.0,88.0,12.0,1897,urn:nbn:se:nordiskamuseet:diva-241
"Lindblom, Andreas",1235436,En Taraval till Nordiska Museet,Ritningar;Utsmyckning och dekoration,211.0,216.0,6.0,1939,urn:nbn:se:nordiskamuseet:diva-507
"Kielland, T B",1246817,En tidlig kjöbenhavner fajanse,Porslin;Fajans,141.0,144.0,4.0,1917,urn:nbn:se:nordiskamuseet:diva-807
"Dahlman, Eva",1307393,En tidsepok i bild : foto KW Gullers,KW Gullers;Fotografer;Fotografer;Sverige;1900-talet,172.0,191.0,20.0,1993,urn:nbn:se:nordiskamuseet:diva-1689
"Palm, Carl",1233662,En tobaksdosa från frihetstiden,Tobak,91.0,93.0,3.0,1900,urn:nbn:se:nordiskamuseet:diva-302
"Forsby, Eva-Lis",1293174,En tobaksdosa och ett saltkar från Elfdals porphyrverk,Porfyr;Saltkar;Tobaksburk;1800-talet,207.0,209.0,3.0,1963,urn:nbn:se:nordiskamuseet:diva-1283
"Schnittinger, Bror",1242386,En trolldosa från vikingatiden : Ett bidrag till kännedom om ormens betydelse inom folkmedicinen,Folkmedicin;Vikingatiden,98.0,109.0,12.0,1912,urn:nbn:se:nordiskamuseet:diva-663
"Brunius, Jan",1291515,En tunnbindareverkstad från Stockholm,Tunnbinderi;Hantverk;Skansen,191.0,193.0,3.0,1959,urn:nbn:se:nordiskamuseet:diva-1191
"Wieselgren, O",1241177,En undergörande helgonbild i Nyköping,Bildkonst;Bilder - religiösa aspekter,240.0,243.0,4.0,1911,urn:nbn:se:nordiskamuseet:diva-652
"Walterstorff, Emelie von",1235321,En vävstol och en varpa,Vävstolar;Väveriteknik,143.0,159.0,17.0,1928,urn:nbn:se:nordiskamuseet:diva-478
"Hillgren, Bror",1235300,En ålderdomlig kistdekoration,Kistor;Förvaringsmöbler,71.0,77.0,7.0,1928,urn:nbn:se:nordiskamuseet:diva-473
"Drakenberg, Sven",1233384,En återuppstånden bruksherrgård,Restaureringskonst;Boende;Bostad;Bebyggelse - historia,185.0,196.0,12.0,1931,urn:nbn:se:nordiskamuseet:diva-256
"Morris, Barbara",1292907,Engelskt tygtryck en fortsatt identifiering,Textiltryck;Storbritannien,81.0,92.0,12.0,1963,urn:nbn:se:nordiskamuseet:diva-1260
"Wallquist, Cecilia;Kättström Höök, Lena;Hartig, Kajsa",1354216,Enklare att googla? : Tre perspektiv på samtidsdokumentation,Samtidsdokumentation,64.0,79.0,16.0,2017,urn:nbn:se:nordiskamuseet:diva-2042
"Andréasson, Håkan",1316674,Ensam i bilen,Bilresor;Ensamhet;Egentid,224.0,241.0,18.0,1996,urn:nbn:se:nordiskamuseet:diva-1728
"Stavenow-Hidemark, Elisabet",1303003,Erik Andrén : 1904-1984,Nordiska museets personal;Erik Andrén,175.0,176.0,2.0,1984,urn:nbn:se:nordiskamuseet:diva-1555
"Rosengren, Annette",1346296,Erik Tryggelin och Staffan Klingspor,Amatörfotografer;Amatörfotografi;Fotografi;Erik Tryggelin;Staffan Klingspor,152.0,157.0,6.0,2009,urn:nbn:se:nordiskamuseet:diva-1966
"Svensson, Sigfrid",1235387,Ernst Klein,Etnologi - forskning,203.0,208.0,6.0,1938,urn:nbn:se:nordiskamuseet:diva-495
"Sommarström, Bo",1203988,Ernst Manker : 1893-1972,Nordiska museets personal,267.0,268.0,2.0,1972,urn:nbn:se:nordiskamuseet:diva-132
"Berg, Bengt",1299181,Essike-dessike leken går : om rim och ramsor förr och nu,Lekar;Rim,69.0,78.0,10.0,1978,urn:nbn:se:nordiskamuseet:diva-1483
"Grieg, Sigurd",1270218,Et norsk drikkehorn i Nordiska museet,Dryckeshorn,19.0,34.0,16.0,1949,urn:nbn:se:nordiskamuseet:diva-1015
"Fett, Harry",1233961,Et norskt billedteppe fra Båhuslen,Tapeter;Vävda tapeter;Bildkonst,224.0,230.0,7.0,1903,urn:nbn:se:nordiskamuseet:diva-367
"Svanberg, Ingvar;Tunón, Håkan",1318538,Etnobiologi,Etnobiologi,55.0,72.0,18.0,1999,urn:nbn:se:nordiskamuseet:diva-1762
"Samzelius, Hugo",1232716,Etnografiska studier från Överkaliks socken i Norrbottens län : Några anteckningar från den nordligaste svenskbygden,,46.0,63.0,18.0,1894,urn:nbn:se:nordiskamuseet:diva-206
"Rehnberg, Mats",1286172,Etnologkongressen 1951,Etnologi;Etnologer,185.0,186.0,2.0,1952,urn:nbn:se:nordiskamuseet:diva-1077
"Stavenow-Hidemark, Elisabet",1299604,Ett arbetarhem från 1890-talet,Arbetarbostäder;1890-talet;Stockholm,29.0,37.0,9.0,1980,urn:nbn:se:nordiskamuseet:diva-1490
"Hammarstedt, Nils Edvard",1246832,Ett bidrag till den kringbyggda gårdens historia,Bebyggelse;Gårdar,58.0,65.0,8.0,1918,urn:nbn:se:nordiskamuseet:diva-812
"Cederblom, Gerda",1242407,Ett bidrag till det dukade bordets historia,Dukning,193.0,217.0,25.0,1912,urn:nbn:se:nordiskamuseet:diva-668
"Rosén, Sander;Wetter, Bertil",1296905,Ett bidrag till hemlighusets historia,Avträden;Historia,169.0,186.0,18.0,1970,urn:nbn:se:nordiskamuseet:diva-1418
"Sjöberg, N",1240209,Ett bidrag till julgranens historia,Julgranar;Julseder,249.0,,,1909,urn:nbn:se:nordiskamuseet:diva-616
"Malmborg, Gösta",1235306,Ett bidrag till klingsmeden Johan Bertram D Y biografi,Vapen;Svärd;Smeder,127.0,135.0,9.0,1928,urn:nbn:se:nordiskamuseet:diva-477
"Engelke, Vilhelm",1232643,"Ett blad om Vads by i Söderbärke socken i Dalarna : anteckningar, gjorda år 1891",Söderbärke;Dalarna;Byar;Boende,12.0,16.0,5.0,1892,urn:nbn:se:nordiskamuseet:diva-194
"Hammarstedt, Nils Edvard",1233646,Ett bondbröllop i Danderyds socken,Bröllop;Högtider,49.0,58.0,10.0,1900,urn:nbn:se:nordiskamuseet:diva-293
"Leffler, Karl Peter",1233237,Ett bondbröllop i Hargs socken på 1840-talet,Bröllop,28.0,35.0,8.0,1897,urn:nbn:se:nordiskamuseet:diva-236
"Hillgren, Bror",1235413,Ett bord från Delsbo prästgård,Möbler;Bord;Prästgårdar,71.0,76.0,6.0,1939,urn:nbn:se:nordiskamuseet:diva-499
"Falkman, Ludvig Berchan",1232781,Ett bröllop i Järna socken i Dalarna midsommardagen år 1851 : ur Nordiska museets arkiv,Bröllop,20.0,25.0,6.0,1890,urn:nbn:se:nordiskamuseet:diva-218
"Holmquist, Kersti",1292767,Ett empirediadem av guld,Smycken;Diadem;1800-talet;Empir,139.0,142.0,4.0,1962,urn:nbn:se:nordiskamuseet:diva-1248
"Sandström, Josef",1240171,Ett folkligt vältalighetsprof från 1778,Kläder - historia;Retorik,164.0,167.0,4.0,1909,urn:nbn:se:nordiskamuseet:diva-608
"Manker, Ernst",1265829,Ett förhistoriskt skidfynd,Skidor;Historia,195.0,200.0,6.0,1946,urn:nbn:se:nordiskamuseet:diva-969
"Erixon, Sigurd",1244906,Ett förslag till inre restaurering af Söderköpings stadskyrka : ett karaktäristiskt program från 1802 af Pehr Hörberg,Kyrkorestaurering;Byggnadsvård,167.0,169.0,3.0,1913,urn:nbn:se:nordiskamuseet:diva-726
"Lagerquist, Marshall",1291501,Ett golvur i götisk stil,Golvur;Ur (tidmätare);Museisamlingar;Nordiska museet,186.0,188.0,3.0,1959,urn:nbn:se:nordiskamuseet:diva-1189
"Sauerlandt, Max",1233801,Ett Gustav II Adolfs-monument från 1632,Bronsskulpturer,223.0,242.0,20.0,1933,urn:nbn:se:nordiskamuseet:diva-327
"Axel-Nilsson, Christian",1292771,"""Ett hus och rese-apotheque""",Reseapotek;1700-talet;Museisamlingar,142.0,144.0,3.0,1962,urn:nbn:se:nordiskamuseet:diva-1249
"Hammarlund-Larsson, Cecilia",1361400,Ett hus på lotteriets grund,Spel om pengar;Nordiska museet,88.0,103.0,16.0,2014,urn:nbn:se:nordiskamuseet:diva-2075
"Martin, F R",1235525,Ett Kristina-smycke i Athen,Smycken;Drottningar,46.0,47.0,2.0,1929,urn:nbn:se:nordiskamuseet:diva-511
"Nordén, Arthur",1242478,Ett lerkärlsfynd från Norrköping,Keramik,34.0,37.0,4.0,1925,urn:nbn:se:nordiskamuseet:diva-677
"Olsson, Marianne",1302276,Ett minne av Sko-båten,Roddbåtar,227.0,236.0,10.0,1983,urn:nbn:se:nordiskamuseet:diva-1537
"Wistrand, Per Gustaf",1241170,Ett minne från mina vandringsår : eller mor Anna Greta Jonsson oeh hennes visor,Visor;Vandringssägner,193.0,226.0,34.0,1911,urn:nbn:se:nordiskamuseet:diva-650
"NN, nn",1234395,Ett musikinstrument från Dalarna,Stråkinstrument,235.0,239.0,5.0,1906,urn:nbn:se:nordiskamuseet:diva-450
"Jansson, Anton",1283336,Ett naturreservat under Julitagodset : En närkesbiolog ser på sörmländska hjälmaröar,Julita gård,17.0,42.0,26.0,1952,urn:nbn:se:nordiskamuseet:diva-1067
"Hagberg, Louise",1241162,Ett nytt bidrag till julgranens historia,Julgranar,123.0,124.0,2.0,1911,urn:nbn:se:nordiskamuseet:diva-646
"Unander, Ferdinand",1233175,Ett och annat ur folktron i Västerbotten : anteckningar från tiden omkring år 1880,Folktro;Västerbotten,35.0,42.0,8.0,1891,urn:nbn:se:nordiskamuseet:diva-226
"Ulrich, Alvar",1241159,Ett par gamla stadganden mot sabotage,Sabotage - juridik och lagstiftning;Skadegörelse,117.0,119.0,3.0,1911,urn:nbn:se:nordiskamuseet:diva-644
"Stavenow-Hidemark, Elisabet",1292465,Ett par gustavianska guldbraceletter,Smycken;Armband;1700-talet;Sverige,169.0,172.0,4.0,1961,urn:nbn:se:nordiskamuseet:diva-1230
"Modin, Erik",1247423,Ett par mindre kända norrländska laxfångstsätt,Fiske,123.0,136.0,14.0,1919,urn:nbn:se:nordiskamuseet:diva-832
"Ekman, Sven",1241111,Ett par småländska fångstredskap för gräfling och räf,Jakt,25.0,31.0,7.0,1911,urn:nbn:se:nordiskamuseet:diva-637
"Hammarstedt, Nils Edvard",1234240,Ett par sydtyska processionsmasker i Nordiska museet,Folkkonst;Folktro,180.0,190.0,11.0,1905,urn:nbn:se:nordiskamuseet:diva-419
"Sandström, Josef",1234388,Ett par västgötastugor,Husbyggnad;Byar;Interiörer,232.0,235.0,4.0,1906,urn:nbn:se:nordiskamuseet:diva-449
"Erixon, Sigurd",1235528,Ett prov på Lindometillverkning,Möbeltillverkning;Möbelsnickare,48.0,49.0,2.0,1929,urn:nbn:se:nordiskamuseet:diva-512
"Lundberg, Gunnar W.",1291723,Ett rokokoporträtt och dess tillkomst,Porträttkonst;Rokoko,135.0,144.0,10.0,1960,urn:nbn:se:nordiskamuseet:diva-1204
"Rudberg, Gunnar",1240103,Ett seglifvat grafbruk,Begravning,109.0,112.0,4.0,1909,urn:nbn:se:nordiskamuseet:diva-599
"Holmquist, Kersti",1288239,Ett silverskrin från stormaktstiden,Silver;Skrin;Nordiska museets vänner;Museisamlingar,173.0,182.0,10.0,1954,urn:nbn:se:nordiskamuseet:diva-1107
"Bloch Ravn, Thomas",1366098,"""Ett Skansen i Danmarks andra stad"" : om den Gamle By i Aarhus",Friluftsmuseer;Danmark,222.0,241.0,20.0,2016,urn:nbn:se:nordiskamuseet:diva-2132
"Brunius, Jan",1291493,Ett skrivbord från 1700-talets förra del,Skrivbord;1700-talet;Nordiska museet;Museisamlingar,184.0,185.0,2.0,1959,urn:nbn:se:nordiskamuseet:diva-1188
"Erixon, Sigurd",1245691,Ett skärlag och dess arkiv,Fiskelägen,71.0,128.0,58.0,1920,urn:nbn:se:nordiskamuseet:diva-765
"Nodermann, Maj",1294625,Ett skåp från Skästra,Skåp;1700-talet;Hälsningland,181.0,183.0,3.0,1965,urn:nbn:se:nordiskamuseet:diva-1333
"Selling, Gösta",1233978,Ett slottsbygge på frihetstiden : en skildring av det nuvarande Tureholms byggnadshistoria,Slott;Arkitektur,41.0,72.0,32.0,1935,urn:nbn:se:nordiskamuseet:diva-371
"Eskeröd, Albert",1292669,Ett slåtteröl på Svartsjö,Pehr Hilleström;Slåtteröl;1700-talet,33.0,50.0,18.0,1962,urn:nbn:se:nordiskamuseet:diva-1238
"Hansson, Anna",1203989,Ett stockholmskt borgarhus från slutet av vasatiden,Byggnader;Gamla stan;Stockholm;1600-talet,223.0,234.0,12.0,1972,urn:nbn:se:nordiskamuseet:diva-133
"Lagercrantz, Bo",1291902,Ett stycke 1700-talsnordism i Nordstjärnans tecken,Nordiska sällskapet;Föremålssamlingar,217.0,224.0,8.0,1960,urn:nbn:se:nordiskamuseet:diva-1214
"Granlund, John",1234443,Ett stycke folkkonst från 1500-talet,Folkkonst,101.0,114.0,14.0,1937,urn:nbn:se:nordiskamuseet:diva-459
"Eldvik, Berit",1317737,Ett stycke Indien i Nordiska museet,Museisamlingar;Nordiska museet;Textilier;Indien,118.0,133.0,16.0,1997,urn:nbn:se:nordiskamuseet:diva-1744
"Fürst, Carl Magnus",1245819,Ett svensk mikroskop från sjuttonhundratalet och dess tillverkare,Mikroskop;Optiska instrument,65.0,82.0,18.0,1915,urn:nbn:se:nordiskamuseet:diva-775
"Keyland, Nils",1247480,Ett svenskt eldstål från 600-talet,Eld;Eldning,51.0,52.0,2.0,1922,urn:nbn:se:nordiskamuseet:diva-844
